Word,Description,Description OK,Description (updated),Description(Final),Example(Final),Alternate spellings,Remarks (if applicable),POS,Pronun,Origin,License,Reference,
gong-gong n.,"Sure, here's the dictionary entry for ""gong-gong"":\n\ngong-gong (n.)\nPronunciation: gawng gawng\n\nDefinition:\n1. A type of sea snail found in Southeast Asia, Malaysia, and Singapore, that is often eaten as a delicacy.\n2. (slang, informal) Someone who is clueless or not very bright.\n\nAlternate spellings:\n- Gonggong\n\nExample Sentences:\n1. I was introduced to gong-gong during my trip to Singapore and I really enjoyed it.\n2. Don't bother asking him for directions, he's a real gong-gong when it comes to anything outside his own neighborhood.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
"gong, gong-gonga.","Sure, here's a dictionary entry for 'gong, gong-gonga':\n\nGong, gong-gonga (adj.): Used to describe someone who is clueless or unaware of their surroundings. The term originates from the Malay language and is commonly used in Singapore to describe someone who is slow to react or comprehend something.\n\nPronunciation: gong (g-oh-ng), gong-gonga (g-oh-ng-g-oh-ng-ga)\n\nAlternate spellings: none\n\nExample usage:\n\n1) ""Why are you staring at me with a blank expression? Are you gong or something?""\n\n2) ""I asked them to move their car, but they just stood there looking gong-gonga.""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
goondu,"Sure, here's an entry for ""goondu"":\n\nGoondu (noun): A Singlish word used to refer to a person who is foolish, silly, or lacking common sense.\n\nExample: ""Don't be such a goondu and fall for that scam!""\n\nPronunciation: goo-ndoo (with emphasis on the first syllable)\n\nAlternate spellings: Gongdu, Gondo, Gondoo\n\nNote: The word ""goondu"" is derived from the Hindi word ""Gundoo"" which means a thug or ruffian. However, in Singlish, it has taken on a less serious connotation and is more commonly used to describe someone who is being clumsy or acting in a foolish manner.","Partial-example/spelling, etc.",,"A Singlish word used to refer to a person who is foolish, silly, or lacking common sense.",Don't be such a goondu and fall for that scam,gundu,,N,gundu,,,http://www.mysmu.edu/faculty/jacklee/,
goondu,"Title: Goondu\nPronunciation: Gohn-doo\nAlternate Spelling: Gundu\n\nDefinition:\nGoondu is a colloquial term in Singlish used to describe someone who is foolish, naive, or inconsiderate. This word is often used in a light-hearted or affectionate manner to affectionately tease someone for their lack of common sense or intelligence. It is a slang term that is commonly used in casual conversations among friends, family, or colleagues in Singapore.\n\nExample Sentences:\n1. ""Eh, don't be such a goondu lah! Everybody knows you can't wear slippers to a fancy restaurant.""\n2. ""My friend is a goondu when it comes to choosing a romantic partner. He always falls for the wrong ones.""\n3. ""No need to worry about him, he might seem like a goondu sometimes, but he's actually quite smart in his own way.""\n\nUsage Notes:\n- The term 'goondu' is derived from the Tamil word 'gundu', which means 'round' or 'unintelligent.'\n- It is important to note that the use of 'goondu' is generally lighthearted and not intended to be offensive. However, it is always recommended to consider the context and the relationship with the person before using it.\n- 'Goondu' can also be used as an adjective, modifying a noun to indicate stupidity or foolishness. For example, ""What a goondu decision!"" or ""You look so goondu wearing that.""\n\nPlease note that Singlish words may vary in spelling and pronunciation. The alternate spelling 'gundu' is used by some individuals but may not be as commonly used as 'goondu.'",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
gorblock,"Sure, here's the dictionary entry for ""gorblock"":\n\nWord: Gorblock\nPronunciation: gawr-blawk\nAlternate spellings: Goreblock\n\nMeaning:\n- A person who is clumsy or awkward in their movements or actions\n- Someone who is uncoordinated or not skilled\n- A person who is not aware of their surroundings and is prone to causing accidents or mishaps\n\nExample:\n""Be careful around that gorblock, he might accidentally knock something over.""\n\nNote: ""Gorblock"" is a slang word commonly used in Singapore. It is a combination of the Malay word ""gagal"" (meaning ""fail"") and the English word ""block"". It is often used in a joking or lighthearted manner to tease someone who is clumsy or awkward.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
goreng,"Sure, here's a Singlish dictionary entry for 'goreng':\n\nGoreng has its roots in Malay and refers to the act of frying something, usually food. In Singlish, the term 'goreng' can be used in a more figurative sense and can refer to doing something in a manner that is exaggerated or showy, often for attention or to impress others.\n\nPronunciation: goh-reng\n\nAlternate spellings: None\n\nExample:\n- ""Wah, he really goreng his story until I also don't believe!"" (Translation: Wow, he really exaggerated his story to the point where even I don't believe it!)",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
Goreng pisang,"Dictionary Entry:\n\nWord: Goreng pisang (go-ren pee-sang)\n\nPronunciation: ɡɔːrɛŋ pɪˈsɑŋ\n\nAlternate Spellings: None\n\nDefinition:\n\n1. Noun - A popular Malay snack consisting of bananas that are coated in a batter made of flour, sugar, and spices, and then deep-fried until they turn golden brown. The bananas used are typically pisang raja (a type of banana), but other varieties may also be used.\n\n2. Exclamation - Used colloquially to express amazement, excitement, or surprise. Similar to saying ""wow"" or ""amazing!""\n\nExample Sentences:\n\n1. I'm craving some goreng pisang for tea; the crispy outer layer and sweet, soft banana inside is irresistible.\n\n2. Goreng pisang is a hit at parties; it's always the first snack to disappear from the table.\n\n3. Goreng pisang! Look at that beautiful sunset, so breathtakingly colorful!\n\nOrigin:\n\nThe term ""goreng pisang"" originates from Malay, with ""goreng"" meaning ""fried"" and ""pisang"" meaning ""banana."" This term is commonly used in Singapore and Malaysia, where goreng pisang is a beloved local delicacy and a popular street food. It has also gained recognition and popularity beyond these regions due to its delicious taste and unique texture.",Yes,,"A snack made of banana, covered in batter, deep fried in hot cooking oil.",Goreng pisang is made by frying bananas covered in batter.,pisang goreng,,N,g@Ur\eIN pisAN,Malay,CC-By-NC 4.0,Red-Dot Baby-Talk Quiz 1.0,
gostan,"Sure, here's an entry for 'gostan':\n\n- Definition: To reverse or back up a vehicle.\n- Pronunciation: gos-tahn (with a nasal 'n' sound at the end)\n- Alternate spellings: gohstan, gostang\n- Example: ""We have to gostan to park in the lot behind us.""\n\nNote: 'Gostan' is a term commonly used in Singlish and originates from the Malay phrase ""gostang-gostang"" which means to go back and forth.","Partial-example/spelling, etc.",,To reverse or back up a vehicle.,"""We have to gostan to park in the lot behind us.""",,,V,g @U s t A n,English,,http://www.mysmu.edu/faculty/jacklee/,
gostun,"Word: Gostun\n\nPronunciation: go-stuhn\n\nAlternate Spellings: Gostan\n\nDefinition: \n\n1. To hesitate or be uncertain about making a decision or taking action; to be in a state of indecision.\n\n2. To change one's mind or direction suddenly.\n\n3. To stall or delay intentionally; to procrastinate.\n\nUsage:\n\n1. ""I gostun a bit before ordering dessert, but then I decided to go for the chocolate cake.""\n\n2. ""We were going to the beach, but then she gostan and said she wanted to go shopping instead.""\n\n3. ""Don't gostun anymore, just make up your mind and let's get started on this project.""\n\nAdditional Information:\n\nDerived from the combination of the Malay word ""go"" (meaning ""go"" or ""move"") and the Hokkien word ""stun"" (meaning ""stop""). Gostun is commonly used in Singlish, a colloquial form of English spoken in Singapore, and reflects the influence of Malay and Hokkien languages on the local vocabulary.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
got,"Entry: Got\n\nPronunciation: gɒt (rhymes with ""hot"")\n\nAlternate spellings: Gotta\n\nDefinition:\n1. Verb - to possess or have something.\nExample: ""I got a new phone yesterday.""\n\n2. Verb - to obtain or acquire something.\nExample: ""I got a promotion at work!""\n\n3. Verb - to understand or grasp a concept or idea.\nExample: ""I don't get what you're saying, can you explain it again?""\n\n4. Verb - to have a specific characteristic or quality.\nExample: ""She's got a great sense of humor.""\n\n5. Verb - to experience or undergo something.\nExample: ""I got caught in the rain and got drenched.""\n\n6. Verb - to receive or be given something.\nExample: ""I got a present for my birthday.""\n\n7. Verb - used to form questions or negative statements.\nExample: ""Did you get any sleep last night?"" or ""I never got a chance to see the movie.""\n\nUsage:\nThe word ""got"" is commonly used in Singlish as a versatile verb that denotes possession, acquisition, understanding, or experiencing something. It is often employed in informal conversations and is frequently shortened to ""got"" in spoken language. Additionally, the contraction ""gotta"" is commonly used in Singlish as a fast spoken form of ""got to"" or ""have got to"".\n\nNotes:\nIn Singlish, the word ""got"" can sometimes be used redundantly for emphasis or to convey a stronger sense of possession or experience, such as ""I got, got, got a lot of homework to do.""",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
gotong-royong,"Title: Gotong-Royong\n\nDefinition:\nGotong-royong is a Malay term widely used in Singapore to describe a collective or communal effort in which individuals come together to work towards a common goal, often involving activities such as cleaning, gardening, or community projects. This term encompasses the spirit of unity, cooperation, and mutual assistance within a community. Gotong-royong reflects the importance of social harmony and the idea that working collectively can accomplish greater results than individual efforts.\n\nPronunciation:\n/go-tong roy-yong/\n\nAlternate spellings:\n- Gotongroyong\n- Gotong royong\n\nExample sentences:\n1. ""Let's organize a gotong-royong session to clean up the neighborhood park.""\n2. ""The residents gathered for a gotong-royong to paint the community center.""\n\nNote: It is important to maintain the original Malay spelling of gotong-royong to preserve its cultural significance and promote inclusivity in linguistic diversity.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
Grab,"Grab (græb)\nAlternate Spellings: Grab, grab, GrAb\n\nDescription:\n- Verb: To seize or take hold of something quickly, often in a forceful or sudden manner.\n- Noun: A ride-hailing service widely used in Southeast Asia, particularly in Singapore.\n- Interjection: An exclamation used to express surprise or disbelief.\n\nExample Sentences:\n1. Verb usage:\n   - ""He tried to grab the last piece of cake before anyone else could get it.""\n   - ""The robber grabbed the woman's handbag and ran away.""\n2. Noun usage:\n   - ""I booked a Grab to take me to the airport.""\n   - ""Let's use Grab to get to the party tonight.""\n3. Interjection usage:\n   - ""Grab! You won the lottery? That's amazing!""\n   - ""Grab lah, how did he manage to pass the exams without studying?""\n\nNote: The verb usage is derived from standard English, while the noun and interjection usage are specific to Singlish.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
grago,"Sure, here's a Singlish dictionary entry for 'grago':\n\nGrago (noun/verb): \n\nPronunciation: grah-goh\n\nAlternate spellings: Gragoh, Gra-goh\n\nDefinition: \n\n1) (noun) Refers to a particular type of person who is known to be uncool, awkward or socially awkward. \n\n2) (verb) Refers to the act of behaving in an uncool or awkward manner. \n\nExample:\n1) ""Eh, that guy damn grago lah. Always say the wrong things."" \n2) ""Why you behave like grago? Cannot even talk properly one."" \n\nNote: The term 'grago' is often used in a light-hearted or teasing manner among friends.",Not sure (likely old fashioned),,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
grandfatherâs,"Sure, here's the dictionary entry for ""grandfather's"":\n\nWord: Grandfather's\nPronunciation: Gran-fah-tha's\nAlternate spellings: -\nDefinition: Refers to a casual, laid-back style of doing things; a laissez-faire attitude towards rules or regulations. Originates from the perception that an elderly grandfather may not be as strict or particular about things as a younger person would be.\nExample: ""Don't worry lah, this is a grandfather's shop. You can negotiate the price.""\nNote: This term is commonly used in Singaporean English, also known as Singlish.",Not sure (likely old fashioned),,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
grandfatherâs army,"Sure, here's the dictionary entry for ""grandfather's army"":\n\nWord: Grandfather's Army\n\nPronunciation: Grand-fa-ther's ar-my\n\nMeaning: Refers to a group of outdated or obsolete items or people who are no longer useful or relevant to current times. This phrase is commonly used to express frustration or annoyance towards something or someone that is outdated or obsolete.\n\nExample: ""Why are we still using these old computers? It's like we're living in grandfather's army.""\n\nAlternate Spellings: None\n\nNote: This phrase originated from the Singapore Armed Forces, where National Service enlistees are often referred to as ""grandfather's army"" for their lack of experience and proficiency compared to regular soldiers.",Not sure (likely old fashioned),,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
grassroots leader,"Title: Grassroots Leader\n\nPart of Speech: Noun\n\nPronunciation: /gras-roots lee-der/\n\nAlternate Spellings: None\n\nDefinition:\nGrassroots leader refers to an individual who holds a prominent position within the grassroots community in Singapore. This term is primarily used in the context of community development and politics. Grassroots leaders play a crucial role in serving as a bridge between the government and the local community, advocating for community needs and facilitating the implementation of government policies at the neighborhood level.\n\nExamples:\n1. Our grassroots leader organized a community event to address residents' concerns about safety.\n2. The grassroots leaders collaborated with various stakeholders to improve the neighborhood's infrastructure.\n\nUsage:\nThe term 'grassroots leader' is widely used in Singapore in both formal and informal settings. It is often used in conversations related to community engagement, town planning, and local politics.\n\nNote:\nIn Singlish, there is no specific localized term for 'grassroots leader' as the term itself has been widely adopted in the local lexicon. However, it is common for Singlish speakers to use the term in everyday conversations without alteration.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
gravy,"gravy [grey-vee] (also spelled kway-vee)\n\nDescription:\nGravy is a noun in Singlish that refers to a thick sauce or liquid made from meat juices and is commonly served with dishes like roasted meats or rice. It is often used to enhance the flavor of a dish or add moisture and richness.\n\nExample:\n""Uncle, add some gravy to my chicken rice, please!""\n\nAlternate spellings:\nIn addition to the standard spelling ""gravy,"" some Singlish speakers may alternatively spell it as ""kway-vee."" This alternate spelling, ""kway-vee,"" reflects a version of how Singlish speakers may pronoun",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
GRC,"Word: GRC\nPronunciation: /dʒiː/ + /ɑːr/ + /siː/\nAlternate spellings: Gah Rhe See\n\nDefinition:\nGRC stands for Group Representation Constituency. It is a term used in the context of Singaporean politics to refer to the electoral divisions in which Members of Parliament (MPs) are elected. In Singapore, the country is divided into multiple GRCs, each represented by a team of MPs.\n\nGRCs were introduced in the 1988 Constitutional amendments to ensure minority representation in parliament. Each GRC comprises several constituencies, typically three to six, and aims to ensure that there is a multicultural and diverse representation in parliament. One candidate in each GRC must belong to a minority racial group, ensuring that all major races are represented.\n\nThe GRC system allows voters to elect a team of MPs rather than an individual MP, encouraging collaborative decision-making and representation. This system also provides for a fair representation of minority groups in parliament, promoting inclusivity and multiculturalism in Singapore's political landscape.\n\nExample:\n""After the recent elections, the ruling party managed to retain their seats in many GRCs.""\n""In this GRC, the team of MPs includes representatives from the Malay, Chinese, and Indian communities.""",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
green bean,"Sure, here's the dictionary entry for ""green bean"" in Singlish:\n\nWord: Green Bean\n\nMeaning: Refers to a naive, inexperienced person who is new to a particular situation or task.\n\nExample: ""He's such a green bean when it comes to computer programming.""\n\nPronunciation: Greeen biin\n\nAlternate spellings: None\n\nNote: The term ""green bean"" is used to describe a person who is inexperienced and not familiar with a specific task or situation. It is often used in a lighthearted or joking manner.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
green bean soup,"Here's your Singlish dictionary entry for 'green bean soup':\n\nWord: Green bean soup\n\nPronunciation: grin bin soo(p)\n\nDescription: \n\nGreen bean soup is a popular dessert in Singapore. Made with mung beans, this sweet soup is served hot or cold, and is often paired with glutinous rice balls or tapioca pearls. Green bean soup is also known as ""kachang hijau"" in Malay, and is a refreshing treat in Singapore's hot and humid weather.\n\nAlternate spellings:\n\n- Kachang hijau soup (Malay)\n- 绿豆汤 (Mandarin Chinese) \n\nNote: The term ""soup"" in Singlish can refer to sweet soup desserts like green bean soup, as well as savory soups.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
GRO,"Entry: GRO (groh)\nAlternate Spellings: G.R.O, GROH\n\nDescription:\nGRO, short for ""Guest Relations Officer,"" is a term commonly used in Singapore to refer to individuals employed in various service sectors, including hospitality, entertainment, and nightlife establishments. A GRO's primary role is to ensure a positive customer experience and provide assistance to guests or customers. \n\nThe term 'GRO' is mainly used in the context of certain establishments like karaoke lounges, clubs, and bars where GROs are responsible for attending to customers' needs, such as taking drink orders, providing recommendations, arranging seating, and providing general support to make guests feel welcomed and comfortable.\n\nPronounced as 'groh,' the term GRO is an acronym derived from the words ""Guest Relations Officer."" It is often used colloquially in Singapore and familiar to many due to its prevalence in entertainment and hospitality industries. The GRO's presence in venues aims to enhance customer satisfaction and maintain a pleasant atmosphere for visitors.\n\nPlease note that the term 'GRO' is specific to Singapore and may not be widely recognized or applied in other countries or regions.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
group representation constituency,"Title: Group Representation Constituency (GRC)\n\nPronunciation: groop rep-ri-zen-tey-shuhn kon-sti-too-uhn-see /gruːp ˌrɛprɪzɛnˈteɪʃ(ə)n kɒnstɪˈtjʊːnsi/\n\nAlternate Spelling: GRC (abbreviation)\n\nDefinition:\nGroup Representation Constituency, commonly abbreviated as GRC, is a unique electoral system found in Singapore. It refers to a geographically defined electoral division in which a group of candidates run collectively as a team, rather than individually, in general elections. Each GRC has a predetermined number of seats to be contested and requires the representation of candidates from different ethnic backgrounds, aiming for multiracial representation in Parliament.\n\nUsage:\n- In the upcoming elections, several Group Representation Constituencies (GRCs) will be fiercely contested.\n- The Group Representation Constituency system ensures that diverse voices are represented in Singapore's Parliament.\n\nExplanation:\nThe concept of Group Representation Constituencies was introduced in Singapore in 1988 with the objective of ensuring minority representation in Parliament and promoting racial harmony. Under the GRC system, political parties are required to form a team of candidates that includes members from different racial or ethnic backgrounds. The number of candidates in each GRC team can vary, usually ranging from three to six, depending on the constituency's size.\n\nThis unique electoral framework ensures balanced representation and prevents a concentration of power in any single ethnic group. By requiring candidates from diverse backgrounds to run as a team, the GRC system encourages cooperation and fosters multicultural dialogue within political parties.\n\nIn addition to promoting multiculturalism, the GRC system also enhances representation by allowing voters to choose their preferred political party or team rather than selecting individual candidates. This system aims to provide a more comprehensive and collective representation of constituents' interests.\n\nKey Takeaway:\nGroup Representation Constituency (GRC) is a unique electoral system in Singapore that ensures minority representation in Parliament by requiring political parties to field a team of candidates from diverse racial or ethnic backgrounds. This system fosters cooperation, multicultural dialogue, and enhances collective representation.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
GSO,"GSO (pronounced ""gee-ess-oh"") is a Singlish acronym that stands for ""go out"" or ""going out"". This term is commonly used in Singapore to refer to socializing or hanging out with friends or family. \n\nAlternate spellings of GSO include ""ji-es-oh"" or simply ""ji-so"". \n\nExample:\n""Hey, you wanna GSO tonight for some drinks?""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
GSS,"GSS (pronounced jee-ess-ess) is an acronym that stands for ""Great Singapore Sale."" It is a widely used term in Singlish to refer to the annual shopping event that takes place in Singapore. The GSS is a highly anticipated period where various retailers and shopping malls offer massive discounts, promotions, and special deals on a wide range of products, including fashion, electronics, home appliances, and more.\n\nAlternate Spellings: There are no alternate spellings for GSS.\n\nExample:\nPerson A: ""Hey, have you checked out the GSS this year?""\nPerson B: ""Of course! I'm already planning my shopping spree.""",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
Gu ji,"Word: Gu ji\nPronunciation: goo-jee\nAlternate spellings: gao ji\n\nDefinition:\nGu ji is a Singlish term derived from the Hokkien dialect, commonly used in Singapore. It is used to describe someone who is overly enthusiastic or excessively eager, often to the point of being obnoxious or annoying. The term can be used to refer to a person's behavior, attitude, or actions.\n\nExample:\nJenny: ""Did you see how Andrew was acting during the game? He was cheering so loudly and jumping up and down like crazy!""\nAmy: ""Yeah, he's such a gu ji.""\n\nNote: The term 'gu ji' is typically used in a lighthearted and somewhat humorous manner to tease or mock someone who is being excessively enthusiastic. However, it is important to use it with tact and in appropriate settings to avoid causing offense.",Yes,,to tickle,1. He very scared of gu ji one. It's his weakness.,,,V,gu dZi,,CC-By-NC 4.0,Red-Dot Baby-Talk Quiz 1.0,
gu niang,"Sure, here's the dictionary entry for 'gu niang':\n\nWord: Gu Niang (pronounced goo-nee-yang)\nAlternate spellings: Ku Niang\n\nDefinition:\n'Gu niang' is a pejorative term used in Singapore and Malaysia to describe a man who is effeminate, particularly in terms of his mannerisms, speech, and dress. The term is often used as an insult and is considered derogatory.\n\nExample:\n""Don't be such a gu niang, man up and face your problems!""\n\nNote: It's important to note that the use of this term can be hurtful and discriminatory towards individuals who identify as LGBTQ+. It is best to use language that is respectful and inclusive of all people.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
guai lan,"Word: Guai Lan (pronounced ""gwai-lan"")\nAlternate Spellings: Kway Lan, Guailan\n\nDefinition:\nGuai lan is a commonly used Singlish slang term that originates from the Hokkien language. It is typically used to describe someone who is impudent, rude, or ill-mannered. The term is often used affectionately among friends in a lighthearted manner to tease or mock each other. \n\nIn Singlish, ""guai lan"" can also be used to describe a person who is bold or audacious, often bordering on being cheeky or fearless. It is a colloquial term that encompasses a wide range of behaviors, varying from playful mischief to outright insolence. \n\nExample Sentences:\n1. ""Eh, don't be so guai lan lah! Show some respect!""\n2. ""You see that guy? He's always acting guai lan, think he's very big shot.""\n3. ""She's a bit guai lan, but that's just her way of joking around.""\n\nNote: Please keep in mind that the Singlish language is informal and commonly used in Singapore. While Singlish may be understood and appreciated by locals, caution should be exercised when using these terms in more formal or international contexts.","Partial-example/spelling, etc.",,,,,,,,,CC BY-SA 4.0,Wiktionary,
gula melaka,"Sure! Here's a dictionary entry for 'gula melaka':\n\nWord: gula melaka\nPart of Speech: Noun \nPronunciation: goo-luh-muh-lah-kuh\n\nDefinition: \nGula melaka is a type of palm sugar that is commonly used in Southeast Asian cuisine, particularly in Singapore and Malaysia. It is made by boiling the sap of the flower bud stem of the coconut palm tree until it thickens and is then poured into bamboo cylinders to set. Gula melaka has a rich caramel flavor and is dark brown in color. It is commonly used as a sweetener in traditional dishes such as ondeh ondeh (glutinous rice balls filled with palm sugar) or in desserts like chendol (a shaved ice dessert). \n\nAlternate spellings: gula malacca\n\nExample sentence: ""The chendol here is fantastic - it's made with gula melaka so it has a really lovely, caramel flavor.""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
Gula melaka,"Gula melaka (pronounced goo-lah meh-lah-kah) is a term commonly used in Singaporean English, also known as Singlish, to refer to a dark, viscous sugar made from the sap of the coconut palm. \n\nAlternate Spellings:\n- Gula malacca\n\nOriginating from Malay, 'gula' means sugar, while 'melaka' refers to the historic city of Melaka in Malaysia, which was known for its production of high-quality palm sugar. Often used in local cuisine and desserts, gula melaka is treasured for its rich caramel-like flavor and distinct aroma.\n\nExample:\n""Can you please add some gula melaka to the kaya toast? It'll give it a sweeter taste.""\n\nPlease note that Singlish words may not follow strict phonetic rules and can vary in pronunciation depending on the speaker's accent and intonation.",Partial-pronunciation/etymology,,"lit. 'sugar malacca'. Palm sugar syrup, usually used in making desserts.",I sweeten the dessert with gula melaka,,,N,"gulA m@lAkA
gulA m@lAk@",Malay,CC-By-NC 4.0,Red-Dot Baby-Talk Quiz 1.0,
guo tie,"Sure, thank you for the task! \n\nDictionary Entry: \n\nWord: Guo Tie (过太) (pronounced: gwoh tye)\n\nDefinition: Guo Tie is a Chinese dumpling that is pan-fried until crispy on one side, soft and juicy on the other. When translated from Mandarin, Guo Tie means “pot sticker,” referring to how they stick to the bottom of the hot pot as they cook. Guo Tie is usually filled with vegetables (like cabbage and carrots) and pork, but some variations may use chicken, beef or shrimp. \n\nExample:\n""I feel like having guo tie for lunch today."" \n\nAlternate spelling:\nGyoza (which is the Japanese name for the dish) is sometimes used interchangeably with Guo Tie.\n\nNote: Guo Tie is a popular Chinese dish that can be found in many restaurants or hawker centers in Singapore.","Partial-example/spelling, etc.",,"Guo Tie is a Chinese dumpling that is pan-fried until crispy on one side, soft and juicy on the other. When translated from Mandarin, Guo Tie means “pot sticker,” referring to how they stick to the bottom of the hot pot as they cook.",The guo tie at this canteen is very famous and cheap!,,,N,kuO t_hjE,,,http://www.mysmu.edu/faculty/jacklee/,
habis,"Sure, here's a dictionary entry for 'habis':\n\nWord: Habis\nPronunciation: huh-bees\nAlternate Spellings: Habis lah, habis siol, habish!\n\nDefinition:\n'Habis' is a commonly used Singlish term that means 'finished' or 'done'. It is usually used to express an end to something or when there is no other option left. It can also be used to signify that someone is in deep trouble or has made a mistake that cannot be undone. \n\nExample:\n1. ""Aiya, my phone battery 'habis' already leh, cannot play games liao.""\n2. ""Wah, you forget to submit your report ah? Sure 'habis' one.""\n\nNote: This term is used mainly in casual conversations and may not be appropriate for formal contexts. The word can also be used in a more exaggerated, and playful manner in sentences such as ""habis siol"" or ""habish!"".",Yes,,Habis' is a commonly used Singlish term that means 'finished' or 'done'. It is usually used to express an end to something or when there is no other option left.,"Wah, you forget to submit your report ah? Sure 'habis' one.",,,,hAbis,Malay,,http://www.mysmu.edu/faculty/jacklee/,
hae ko,"Certainly!\n\nHaeko (also spelled as hae ko or heh ko) is a Singlish term for a popular ingredient in many Singaporean and Southeast Asian dishes, known in English as shrimp paste. It is made by fermenting ground shrimp with salt and can range in color from light pink to deep reddish-brown.\n\nThe word ""hae ko"" is pronounced in two syllables, with the first syllable being pronounced like ""hay"" and the second syllable like ""ko."" It is often used in cooking to add a salty and savory umami flavor to dishes such as sambal, laksa, and rojak. \n\nIn addition to its culinary uses, hae ko is also sometimes used as a condiment or dipping sauce for snacks like fresh fruits, vegetables, and fried foods.\n\nOverall, hae ko is an essential ingredient in traditional Singaporean and Southeast Asian cuisine and is a word that you will commonly hear and see in markets, restaurants, and households.",Yes,,"a popular ingredient in many Singaporean and Southeast Asian dishes, known in English as shrimp paste",,,,N,heI ko,Hokkien,,http://www.mysmu.edu/faculty/jacklee/,
hae mee,"Sure, here's the dictionary entry for ""hae mee"":\n\n- Word: Hae Mee\n- Pronunciation: hey-mee\n- Alternate Spellings: Hokkien Mee, prawn mee\n- Definition: A popular Singaporean dish that consists of yellow noodles and vermicelli, stir-fried with prawns, squid, pork, and vegetables such as bean sprouts and cabbage. The dish is flavored with a mixture of soy sauce, fish sauce, and chili, and often served with a spoonful of sambal chili paste. \n- Example: ""Let's go to the hawker center and order a plate of hae mee for lunch.""\n\nNote: ""Hokkien Mee"" and ""prawn mee"" are sometimes used interchangeably with ""hae mee"" and refer to the same dish.",Yes,,"Prawn noodles.  A popular Singaporean dish that consists of yellow noodles and rice noodles, either fried with prawns or in prawn soup",I want to eat hae mee today,xia mian,,N, heI mi:,Hokkien,,http://www.mysmu.edu/faculty/jacklee/,
haebee,"haebee is a Singlish slang term that is derived from the phrase ""Have Been"". It is used to indicate that someone has been through a certain experience or has done something previously. It is commonly used in conversations among Singaporeans and is usually shortened to ""hb"" in text messages.\n\nExample: ""I haebee to Japan last year for a holiday, it was awesome!""\n\nThe pronunciation of haebee is typically: ""heɪbi"".\n\nAlternate spellings for haebee include ""habee"" and ""habeen"".",No,,small dried shrimp,That has hae bee inside! You're allergic to seafood right? Don't eat it,hay bee,,N,heI bi,Hokkien,,http://www.mysmu.edu/faculty/jacklee/,
hah,"Sure, here's a dictionary entry for 'hah':\n\n**Word:** Hah\n\n**Pronunciation:** ha or haa (short 'a' sound)\n\n**Definition:** A Singaporean expression of disbelief, often used as a response to a ludicrous or implausible statement. It can also be used as a way to express mockery or sarcasm. It's similar to the English interjection ""Ha!"", but with a slightly different tone and meaning.\n\n**Example:** ""You won the lottery? Hah, no way lah!"" or ""Wow, you're a super fast runner now? Hah, I'll believe it when I see it!"" \n\n**Alternate spellings:** Some people may spell it as ""haha"" or ""har"".","Partial-example/spelling, etc.",,"1. A Singaporean expression of disbelief, often used as a response to a ludicrous or implausible statement. It can also be used as a way to express mockery or sarcasm. 
2. A rising tone particle (tone 2). It can be added to the end of an imperative or question to soften it. It can also make a statement sound less assertive.","1. Hah? Like that you also don't know?
2. Remember to off the lights hah2!",,,Interjection/Particle,hA,,,http://www.mysmu.edu/faculty/jacklee/,
Hainanese,"Sure, here's a dictionary entry for 'Hainanese':\n\nHainanese (n.) - A person of Hainanese descent or origin, who speak a distinct dialect of Chinese that has been heavily influenced by Malay and other regional languages. The Hainanese dialect is known for its unique pronunciation and vocabulary, and is spoken primarily in Singapore and Malaysia.\n\nPronunciation: hai-nuh-niece (note: the last syllable is pronounced like ""niece,"" like the relative term)\n\nAlternate spellings: None\n\nExample sentence: My favorite chicken rice stall is run by a Hainanese family.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
